               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10362,            0.017714,            0.027343,          0.00027858,             0.12851,          0.00019191,          4.5906e-05,             0.09337,            0.011209,            0.026409,              0.0705,           0.0032778,           0.0032778
                   1,            0.093173,            0.018104,            0.024522,          0.00071631,             0.23063,          0.00048736,          0.00012813,            0.087748,             0.01123,            0.024582,            0.040369,           0.0064802,           0.0064802
                   2,            0.080815,            0.018083,            0.019932,           0.0010838,             0.35209,           0.0043108,          0.00087821,            0.092323,            0.010443,            0.023901,            0.010106,           0.0095506,           0.0095506
                   3,            0.070599,            0.016607,            0.013541,           0.0003202,             0.14771,          0.00035655,          7.0634e-05,            0.091574,           0.0092176,             0.02342,            0.009406,            0.009406,            0.009406
                   4,            0.069909,            0.015366,            0.012651,              0.1459,             0.13336,            0.030799,           0.0097665,            0.077783,            0.016499,            0.027147,            0.009406,            0.009406,            0.009406
                   5,            0.068773,            0.015413,            0.012248,             0.11116,             0.39394,            0.094599,            0.032255,            0.080748,            0.016219,            0.029407,            0.009208,            0.009208,            0.009208
                   6,             0.06804,            0.014937,            0.012417,           0.0009492,             0.25912,          0.00074752,          0.00023747,            0.093386,            0.010132,            0.026765,             0.00901,             0.00901,             0.00901
                   7,             0.06761,            0.014696,             0.01206,             0.25376,            0.098024,            0.074062,            0.021905,            0.080027,            0.010456,            0.021439,            0.008812,            0.008812,            0.008812
                   8,            0.066916,            0.014729,            0.012932,             0.50059,           0.0036928,          0.00034893,           8.687e-05,             0.10507,            0.019204,            0.030679,            0.008614,            0.008614,            0.008614
                   9,            0.066969,            0.014369,            0.012241,               0.235,             0.21013,             0.16283,            0.052039,            0.072127,           0.0091191,             0.01756,            0.008416,            0.008416,            0.008416
                  10,            0.065964,            0.014256,            0.012381,            0.042745,             0.02594,            0.010711,           0.0028797,            0.078135,            0.010909,            0.025388,            0.008218,            0.008218,            0.008218
                  11,            0.065636,            0.014363,            0.011725,             0.39863,             0.15069,             0.23463,            0.080571,            0.062834,            0.010109,            0.012422,             0.00802,             0.00802,             0.00802
                  12,            0.064966,             0.01413,            0.012102,            0.061493,             0.01551,            0.010288,           0.0021823,            0.084086,           0.0099179,             0.02364,            0.007822,            0.007822,            0.007822
                  13,            0.064296,            0.014063,            0.011948,             0.25937,            0.033718,             0.19267,            0.065809,            0.072414,            0.010296,            0.020705,            0.007624,            0.007624,            0.007624
                  14,            0.064292,            0.014037,            0.011737,             0.26968,             0.19604,             0.17633,            0.062968,            0.066306,           0.0096729,            0.016445,            0.007426,            0.007426,            0.007426
                  15,            0.064666,            0.014068,            0.011995,             0.50134,           0.0088626,          0.00051447,           0.0001357,            0.097967,            0.011186,            0.032124,            0.007228,            0.007228,            0.007228
                  16,             0.06403,            0.013922,             0.01129,             0.25242,             0.27237,             0.18748,            0.058458,            0.075417,            0.010578,            0.015842,             0.00703,             0.00703,             0.00703
                  17,            0.063865,            0.013803,            0.011245,              0.1348,             0.14538,            0.060589,            0.020074,            0.075022,            0.010194,            0.018382,            0.006832,            0.006832,            0.006832
                  18,            0.063404,             0.01366,            0.010542,             0.56257,             0.26597,              0.2519,            0.082435,            0.068097,            0.010043,            0.014426,            0.006634,            0.006634,            0.006634
                  19,            0.062937,            0.013409,            0.011328,             0.31377,             0.38984,             0.22983,            0.064578,            0.066402,           0.0089316,            0.014752,            0.006436,            0.006436,            0.006436
                  20,            0.061918,            0.013527,            0.010897,             0.31065,             0.30807,             0.27716,             0.10089,            0.066606,           0.0093168,            0.014322,            0.006238,            0.006238,            0.006238
                  21,            0.062399,            0.013261,            0.010562,             0.52214,             0.28501,             0.26921,            0.079518,            0.066197,           0.0098434,            0.012784,             0.00604,             0.00604,             0.00604
                  22,            0.061931,            0.013166,            0.010398,             0.36298,             0.44544,             0.27586,              0.1059,            0.060688,           0.0087715,            0.012298,            0.005842,            0.005842,            0.005842
                  23,            0.061338,            0.013192,            0.010261,             0.37264,             0.34565,             0.30875,            0.099049,              0.0658,           0.0091322,            0.011055,            0.005644,            0.005644,            0.005644
                  24,            0.060437,            0.013101,           0.0099339,             0.46957,             0.41552,             0.37537,             0.13499,            0.059899,           0.0081318,            0.012875,            0.005446,            0.005446,            0.005446
                  25,            0.060451,            0.012944,            0.010526,             0.39405,              0.2543,             0.25019,            0.083843,            0.070193,            0.009069,            0.016566,            0.005248,            0.005248,            0.005248
                  26,            0.059262,            0.013051,            0.009497,              0.6452,              0.0613,             0.20955,             0.07557,             0.06879,            0.010088,            0.015484,             0.00505,             0.00505,             0.00505
                  27,            0.059312,            0.013048,           0.0096204,             0.49937,             0.43965,             0.44368,             0.15899,            0.058081,           0.0085934,             0.01001,            0.004852,            0.004852,            0.004852
                  28,            0.059433,            0.013033,           0.0094106,             0.68804,             0.15557,             0.22779,            0.084074,            0.074382,            0.010303,             0.01559,            0.004654,            0.004654,            0.004654
                  29,            0.058311,            0.012836,           0.0088908,             0.49615,            0.077768,             0.12061,            0.048106,            0.075558,            0.010649,            0.017566,            0.004456,            0.004456,            0.004456
                  30,            0.058466,            0.012971,           0.0086774,             0.21926,            0.047703,            0.027493,           0.0081248,             0.10468,             0.01089,            0.033077,            0.004258,            0.004258,            0.004258
                  31,            0.057491,            0.012818,           0.0091929,             0.43318,             0.62013,             0.47745,             0.19573,            0.050673,           0.0082991,           0.0066194,             0.00406,             0.00406,             0.00406
                  32,            0.057053,            0.012785,           0.0082409,              0.7416,             0.44182,             0.52928,               0.202,            0.054624,           0.0096008,           0.0096484,            0.003862,            0.003862,            0.003862
                  33,            0.056403,             0.01271,           0.0085307,              0.4955,             0.23838,             0.22557,            0.090499,            0.068474,            0.010381,            0.014305,            0.003664,            0.003664,            0.003664
                  34,            0.056043,            0.012527,           0.0080981,             0.23187,             0.15007,            0.078595,            0.035858,            0.077223,            0.016547,            0.017729,            0.003466,            0.003466,            0.003466
                  35,            0.055427,            0.012422,              0.0077,             0.60268,            0.099705,             0.10871,            0.030411,            0.081773,           0.0087326,            0.028599,            0.003268,            0.003268,            0.003268
                  36,            0.054914,            0.012079,           0.0072582,             0.79359,             0.44001,             0.62163,             0.26166,            0.053037,           0.0096448,           0.0075181,             0.00307,             0.00307,             0.00307
                  37,            0.054481,            0.012226,            0.006581,             0.60988,              0.5391,              0.5594,             0.25226,              0.0515,           0.0085619,           0.0053986,            0.002872,            0.002872,            0.002872
                  38,            0.053668,            0.012267,           0.0063334,             0.45159,             0.35091,             0.34884,             0.13796,            0.068355,            0.009298,            0.015363,            0.002674,            0.002674,            0.002674
                  39,            0.052919,            0.011853,           0.0060312,             0.76606,             0.70067,             0.77639,             0.37609,            0.045139,           0.0078049,           0.0052479,            0.002476,            0.002476,            0.002476
                  40,            0.051627,            0.011682,           0.0055361,             0.68911,             0.68849,             0.76169,             0.37862,            0.045976,           0.0079975,           0.0040608,            0.002278,            0.002278,            0.002278
                  41,            0.052074,            0.011622,           0.0054116,             0.63997,             0.57191,             0.61665,             0.27787,            0.055043,           0.0082382,           0.0070912,             0.00208,             0.00208,             0.00208
                  42,            0.050532,            0.011436,           0.0049663,             0.78715,             0.66271,             0.76646,             0.34626,             0.04667,           0.0079037,           0.0067119,            0.001882,            0.001882,            0.001882
                  43,            0.050082,             0.01157,           0.0047921,              0.8027,             0.73353,             0.80075,             0.39482,            0.044366,           0.0074167,           0.0033827,            0.001684,            0.001684,            0.001684
                  44,            0.048019,            0.011414,           0.0044646,             0.77491,             0.70684,             0.79906,             0.38822,            0.043134,           0.0077213,           0.0041411,            0.001486,            0.001486,            0.001486
                  45,            0.047121,            0.011017,             0.00426,             0.87211,             0.78335,             0.86662,             0.42968,            0.040647,           0.0068018,           0.0033086,            0.001288,            0.001288,            0.001288
                  46,            0.046139,            0.011042,           0.0042607,             0.84247,             0.78442,             0.85801,             0.41439,             0.04058,           0.0066756,           0.0028319,             0.00109,             0.00109,             0.00109
