               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10212,            0.017828,            0.027078,          0.00061102,             0.19045,          0.00044646,          0.00010067,            0.090873,             0.01154,            0.026108,             0.07025,           0.0033056,           0.0033056
                   1,            0.091914,            0.018051,              0.0235,           0.0024644,           0.0081241,           0.0013855,          0.00035572,            0.088484,            0.010832,            0.020508,            0.040119,           0.0065074,           0.0065074
                   2,            0.081524,            0.017968,            0.020769,             0.50815,            0.034712,           0.0053599,           0.0016963,            0.097138,            0.031483,            0.026206,           0.0098551,           0.0095773,           0.0095773
                   3,            0.069161,            0.016571,            0.014193,            0.016188,             0.33216,            0.024653,           0.0090978,             0.10003,             0.01592,            0.048317,            0.009406,            0.009406,            0.009406
                   4,            0.062382,            0.014145,           0.0094772,             0.58368,              0.6013,             0.51548,             0.21186,            0.053427,           0.0084843,           0.0067469,            0.009406,            0.009406,            0.009406
                   5,            0.057681,             0.01293,           0.0066842,             0.29115,             0.23106,             0.20214,            0.082566,            0.061706,            0.011064,            0.015372,            0.009208,            0.009208,            0.009208
                   6,            0.053973,            0.011915,           0.0055126,              0.5972,              0.5006,             0.50713,             0.22638,            0.059546,           0.0082785,            0.012031,             0.00901,             0.00901,             0.00901
                   7,            0.051124,             0.01116,           0.0046508,             0.72485,             0.80454,              0.8259,             0.37124,            0.043049,           0.0060566,           0.0035134,            0.008812,            0.008812,            0.008812
                   8,             0.04946,            0.011016,           0.0045599,             0.76178,             0.77643,             0.82658,             0.41314,            0.041494,           0.0053983,           0.0041869,            0.008614,            0.008614,            0.008614
                   9,            0.047212,            0.010494,           0.0038665,             0.70317,             0.65724,             0.70868,             0.33837,             0.04368,           0.0070036,            0.005279,            0.008416,            0.008416,            0.008416
                  10,            0.046393,            0.010207,           0.0033379,             0.89101,             0.79503,             0.87752,             0.43193,            0.038498,           0.0055182,           0.0010843,            0.008218,            0.008218,            0.008218
                  11,            0.045158,            0.009912,           0.0027756,             0.85053,             0.79384,             0.89616,             0.48532,             0.03638,           0.0054652,           0.0010138,             0.00802,             0.00802,             0.00802
                  12,            0.043242,           0.0095741,           0.0026903,             0.89537,             0.86849,             0.93757,             0.50555,            0.034841,           0.0050846,           0.0012159,            0.007822,            0.007822,            0.007822
                  13,            0.042905,           0.0098194,           0.0028632,             0.90361,             0.86567,             0.92552,             0.50427,              0.0355,            0.004739,           0.0011612,            0.007624,            0.007624,            0.007624
                  14,             0.04264,           0.0094685,           0.0028343,             0.85306,             0.86584,             0.91164,             0.47705,            0.036423,           0.0052145,           0.0022779,            0.007426,            0.007426,            0.007426
                  15,            0.041458,           0.0097344,           0.0021655,             0.85783,             0.91284,             0.92273,             0.49336,            0.033564,           0.0044684,          0.00078584,            0.007228,            0.007228,            0.007228
                  16,            0.040328,           0.0094025,           0.0025445,              0.9384,             0.91983,             0.94611,             0.52059,            0.033957,           0.0044437,          0.00092287,             0.00703,             0.00703,             0.00703
                  17,            0.040327,           0.0091476,           0.0022397,             0.92433,             0.89953,             0.95289,             0.54423,            0.033137,           0.0045318,          0.00077042,            0.006832,            0.006832,            0.006832
                  18,             0.03899,           0.0088585,           0.0019379,             0.94434,             0.91875,             0.96065,             0.55159,            0.031322,           0.0042336,           0.0010728,            0.006634,            0.006634,            0.006634
                  19,            0.038729,           0.0088353,           0.0023557,             0.94365,             0.83018,             0.90889,             0.52017,            0.035475,           0.0053117,           0.0022744,            0.006436,            0.006436,            0.006436
                  20,            0.037746,            0.008745,           0.0017131,             0.93578,             0.90767,               0.967,             0.58056,             0.02996,           0.0043957,          0.00089779,            0.006238,            0.006238,            0.006238
                  21,            0.037376,           0.0086628,           0.0019115,             0.96317,             0.95475,             0.98119,             0.55397,            0.032388,             0.00407,          0.00060368,             0.00604,             0.00604,             0.00604
                  22,            0.036856,            0.008503,           0.0016923,             0.98319,             0.97766,             0.99079,             0.60359,            0.028572,           0.0041181,          0.00076752,            0.005842,            0.005842,            0.005842
                  23,            0.036158,           0.0083878,           0.0017429,             0.96478,             0.92551,             0.96944,              0.5981,            0.029111,           0.0042812,           0.0011734,            0.005644,            0.005644,            0.005644
                  24,            0.035303,           0.0082813,           0.0015586,             0.96296,              0.9551,             0.98703,             0.62848,            0.027534,           0.0038668,          0.00052233,            0.005446,            0.005446,            0.005446
                  25,            0.035084,            0.008229,           0.0014441,             0.94899,             0.90271,             0.94882,             0.56564,            0.031066,           0.0048743,           0.0019966,            0.005248,            0.005248,            0.005248
                  26,            0.034519,           0.0082899,           0.0014402,             0.97602,             0.97357,             0.98979,             0.64139,            0.026244,            0.003773,            0.000639,             0.00505,             0.00505,             0.00505
                  27,            0.034927,           0.0081621,           0.0014889,             0.99527,             0.95544,             0.99015,             0.63598,            0.026206,           0.0037534,          0.00052944,            0.004852,            0.004852,            0.004852
                  28,             0.03425,           0.0081671,           0.0011852,             0.97905,             0.94694,              0.9755,             0.64488,            0.026107,           0.0037846,          0.00083428,            0.004654,            0.004654,            0.004654
                  29,            0.033233,           0.0079962,           0.0011713,             0.97378,             0.93663,             0.97139,               0.631,            0.027642,           0.0040446,          0.00057802,            0.004456,            0.004456,            0.004456
                  30,            0.032984,           0.0080231,           0.0013171,             0.98076,             0.95999,             0.98664,             0.61659,            0.027045,             0.00378,          0.00085911,            0.004258,            0.004258,            0.004258
                  31,             0.03187,           0.0077126,           0.0010269,             0.98953,             0.97269,             0.99043,             0.66467,            0.025332,           0.0035476,          0.00041736,             0.00406,             0.00406,             0.00406
                  32,            0.031511,           0.0078108,           0.0017432,             0.98925,             0.98791,             0.99377,             0.66767,            0.024033,           0.0034758,          0.00033534,            0.003862,            0.003862,            0.003862
                  33,            0.031095,           0.0076383,           0.0011193,             0.98448,             0.97637,             0.98663,             0.64024,            0.025148,           0.0035181,          0.00033157,            0.003664,            0.003664,            0.003664
                  34,            0.030599,           0.0075891,            0.001031,             0.98863,             0.97075,             0.99246,             0.67043,            0.024455,            0.003557,          0.00052532,            0.003466,            0.003466,            0.003466
                  35,            0.030499,           0.0077789,           0.0010482,             0.99453,             0.99252,             0.99478,              0.7119,            0.022315,           0.0033729,           0.0002919,            0.003268,            0.003268,            0.003268
                  36,            0.029661,           0.0073815,          0.00088549,             0.99118,             0.97089,             0.99052,             0.69354,            0.023614,           0.0036662,           0.0004054,             0.00307,             0.00307,             0.00307
                  37,            0.028882,           0.0073584,          0.00072962,             0.98783,             0.97139,             0.99419,             0.68735,            0.022479,            0.003268,           0.0002952,            0.002872,            0.002872,            0.002872
                  38,            0.028533,            0.007261,          0.00072436,             0.99153,             0.98696,             0.99448,             0.72378,             0.02171,           0.0032962,          0.00026667,            0.002674,            0.002674,            0.002674
                  39,             0.02795,           0.0071272,          0.00090725,             0.99627,             0.99113,             0.99409,             0.70536,            0.021963,           0.0031684,          0.00026039,            0.002476,            0.002476,            0.002476
                  40,            0.027261,           0.0069495,          0.00065423,              0.9959,             0.99179,             0.99462,             0.71993,            0.021206,           0.0031316,          0.00024339,            0.002278,            0.002278,            0.002278
                  41,             0.02718,           0.0068997,          0.00075796,             0.99053,             0.99586,             0.99481,             0.73782,            0.020386,           0.0030474,          0.00022476,             0.00208,             0.00208,             0.00208
                  42,            0.026409,           0.0068729,          0.00060155,             0.99856,             0.99154,             0.99477,             0.75587,            0.019685,            0.003029,          0.00021174,            0.001882,            0.001882,            0.001882
                  43,            0.025308,           0.0067986,          0.00064466,             0.99837,             0.99217,             0.99499,             0.74453,            0.019929,           0.0029747,          0.00017922,            0.001684,            0.001684,            0.001684
                  44,            0.025912,            0.006815,          0.00052515,             0.99746,             0.99325,             0.99499,             0.73617,            0.019787,           0.0029652,          0.00017285,            0.001486,            0.001486,            0.001486
                  45,            0.024507,           0.0065692,          0.00052314,             0.99865,              0.9953,               0.995,              0.7544,            0.019284,           0.0028659,          0.00014877,            0.001288,            0.001288,            0.001288
                  46,            0.023721,           0.0064912,          0.00051511,             0.99604,             0.99706,             0.99499,             0.77011,            0.018622,           0.0028528,          0.00014531,             0.00109,             0.00109,             0.00109
