               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10381,            0.017711,            0.027408,          0.00028818,             0.13294,          0.00021444,          4.9399e-05,            0.093337,            0.011205,            0.026428,              0.0705,           0.0032778,           0.0032778
                   1,            0.094117,            0.018056,            0.024924,           0.0010128,              0.2953,          0.00071498,          0.00019897,            0.089276,            0.011119,            0.023943,            0.040369,           0.0064802,           0.0064802
                   2,            0.083091,            0.017968,            0.020592,           0.0046135,             0.16933,           0.0080586,           0.0014469,             0.10522,            0.019127,            0.037096,            0.010106,           0.0095506,           0.0095506
                   3,             0.06673,            0.015857,            0.013984,          0.00082348,           0.0044313,          0.00016103,          3.7988e-05,             0.12668,            0.027592,             0.10078,            0.009406,            0.009406,            0.009406
                   4,            0.060157,            0.012937,           0.0094893,             0.46355,             0.63455,             0.49515,             0.20381,            0.056978,           0.0083429,           0.0064754,            0.009406,            0.009406,            0.009406
                   5,            0.055505,            0.012104,           0.0075037,             0.49235,             0.52893,              0.5243,             0.20401,            0.053892,           0.0084583,           0.0092005,            0.009208,            0.009208,            0.009208
                   6,            0.052063,            0.011328,           0.0061961,              0.4279,             0.32188,             0.30918,             0.11643,            0.067911,           0.0092476,            0.015689,             0.00901,             0.00901,             0.00901
                   7,            0.050865,             0.01083,           0.0052498,             0.55422,             0.69916,             0.59285,             0.26608,            0.049777,           0.0063525,           0.0036053,            0.008812,            0.008812,            0.008812
                   8,            0.049232,            0.010645,           0.0048844,             0.79088,             0.71041,             0.77282,             0.34082,            0.046507,           0.0067355,           0.0029288,            0.008614,            0.008614,            0.008614
                   9,            0.048505,            0.010444,            0.004123,             0.68211,             0.53224,             0.54531,             0.25178,            0.061615,           0.0086735,            0.010985,            0.008416,            0.008416,            0.008416
                  10,             0.04713,            0.010169,           0.0041792,             0.77868,             0.77869,             0.84232,             0.39886,            0.044212,           0.0061223,            0.001729,            0.008218,            0.008218,            0.008218
                  11,            0.046061,            0.010145,           0.0035667,             0.81743,             0.77412,             0.83909,             0.36253,            0.043279,           0.0061576,           0.0024188,             0.00802,             0.00802,             0.00802
                  12,            0.045225,           0.0097864,           0.0035783,             0.85203,             0.70621,             0.78616,              0.3795,            0.045089,           0.0076442,           0.0039038,            0.007822,            0.007822,            0.007822
                  13,            0.044737,           0.0099438,           0.0036172,             0.79209,              0.7623,             0.79101,              0.3759,            0.041777,           0.0059058,           0.0017129,            0.007624,            0.007624,            0.007624
