               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10372,            0.017726,            0.027376,          0.00028658,              0.1322,          0.00019219,          4.5743e-05,            0.093387,            0.011203,            0.026428,              0.0705,           0.0032778,           0.0032778
                   1,            0.093791,            0.018098,            0.024762,           0.0069391,           0.0051699,          0.00090835,          0.00023249,            0.088286,            0.011444,            0.024129,            0.040369,           0.0064802,           0.0064802
                   2,            0.083546,            0.018032,            0.021234,             0.51209,           0.0081241,           0.0034198,           0.0012934,             0.12449,            0.093321,             0.10762,            0.010106,           0.0095506,           0.0095506
                   3,             0.06776,            0.016597,            0.015359,             0.18268,             0.20836,            0.064755,             0.01769,            0.093517,            0.015465,            0.042546,            0.009406,            0.009406,            0.009406
                   4,            0.061311,            0.013541,           0.0097322,             0.32328,            0.057075,           0.0032469,           0.0013947,             0.11265,             0.59001,            0.043775,            0.009406,            0.009406,            0.009406
                   5,            0.056384,            0.012433,           0.0069251,             0.63226,              0.6419,              0.6159,             0.24586,            0.054452,           0.0064807,           0.0051452,            0.009208,            0.009208,            0.009208
                   6,            0.051949,            0.011393,           0.0053937,             0.56542,             0.63499,             0.58666,             0.23711,            0.050998,           0.0065821,           0.0083073,             0.00901,             0.00901,             0.00901
                   7,            0.049373,            0.010775,           0.0047644,             0.66527,             0.69507,             0.73313,             0.32601,            0.045741,           0.0060336,          0.00098774,            0.008812,            0.008812,            0.008812
                   8,            0.046323,            0.010348,           0.0044779,              0.8167,             0.77165,             0.83424,             0.39239,            0.042322,           0.0054719,           0.0019691,            0.008614,            0.008614,            0.008614
                   9,            0.044941,           0.0099606,           0.0038522,             0.78409,             0.54122,             0.59339,             0.27995,            0.056896,           0.0091027,            0.028656,            0.008416,            0.008416,            0.008416
                  10,            0.043038,           0.0095201,           0.0030784,             0.84235,             0.80083,             0.84765,             0.43919,            0.038825,           0.0053851,           0.0011762,            0.008218,            0.008218,            0.008218
                  11,            0.041544,           0.0094034,           0.0028231,             0.91094,             0.89428,             0.92906,             0.46654,            0.035824,           0.0047285,           0.0013444,             0.00802,             0.00802,             0.00802
                  12,            0.040445,           0.0090594,           0.0023539,             0.90783,             0.91214,               0.936,             0.52144,            0.034281,           0.0047983,          0.00057738,            0.007822,            0.007822,            0.007822
                  13,            0.039232,           0.0089806,           0.0026167,              0.9392,             0.92995,             0.96535,             0.55873,             0.03275,           0.0044445,          0.00077125,            0.007624,            0.007624,            0.007624
