               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10181,            0.017841,            0.026959,          0.00078446,              0.2545,          0.00054703,          0.00015004,            0.090466,            0.011599,            0.025984,             0.07025,           0.0033056,           0.0033056
                   1,            0.088636,            0.018253,            0.022404,           0.0018845,             0.28902,           0.0047248,           0.0013149,            0.089856,            0.012181,            0.021788,            0.040119,           0.0065074,           0.0065074
                   2,            0.073735,            0.017334,            0.018304,            0.004628,             0.26717,           0.0042487,           0.0012702,            0.090271,            0.010724,            0.021111,           0.0098551,           0.0095773,           0.0095773
                   3,            0.072184,            0.015501,            0.014286,          0.00068246,             0.13703,          0.00035503,          9.8331e-05,             0.12756,               4.616,            0.089445,            0.009406,            0.009406,            0.009406
                   4,            0.069491,            0.014701,            0.013325,           0.0012855,             0.15904,            0.003799,           0.0020516,            0.091675,           0.0095299,            0.024025,            0.009406,            0.009406,            0.009406
                   5,            0.070632,            0.014998,            0.013287,          0.00085527,            0.056869,          0.00054379,          0.00017357,             0.10856,            0.020257,            0.037022,            0.009208,            0.009208,            0.009208
                   6,             0.06934,            0.014458,             0.01316,             0.12282,              0.0721,            0.046129,            0.014898,            0.082437,           0.0095121,            0.016777,             0.00901,             0.00901,             0.00901
                   7,            0.069579,            0.014446,            0.012925,            0.083469,             0.23774,            0.041569,            0.010858,            0.078849,            0.011158,            0.021556,            0.008812,            0.008812,            0.008812
                   8,            0.068672,            0.014607,            0.013308,            0.003355,             0.45014,            0.056316,            0.015168,            0.085292,           0.0097351,            0.023788,            0.008614,            0.008614,            0.008614
                   9,            0.069526,            0.014191,            0.013974,             0.13017,             0.23714,            0.092027,            0.029612,            0.076014,            0.034837,            0.017574,            0.008416,            0.008416,            0.008416
                  10,            0.068505,            0.014186,            0.013566,           0.0054986,              0.7603,            0.029781,            0.005115,            0.084844,           0.0087005,             0.02852,            0.008218,            0.008218,            0.008218
                  11,            0.068771,            0.014447,            0.012682,             0.35464,             0.26447,             0.18837,            0.059914,            0.082334,           0.0088745,            0.015958,             0.00802,             0.00802,             0.00802
                  12,            0.067448,            0.014188,             0.01272,            0.013401,             0.30759,            0.014403,           0.0040123,            0.082941,            0.010507,            0.029221,            0.007822,            0.007822,            0.007822
                  13,            0.068213,            0.014384,            0.012644,             0.33554,              0.1852,             0.20659,            0.051032,            0.075058,           0.0088083,            0.016284,            0.007624,            0.007624,            0.007624
                  14,            0.067065,            0.014363,            0.013042,             0.29409,             0.21504,             0.16207,            0.051398,            0.074286,           0.0084237,            0.014399,            0.007426,            0.007426,            0.007426
