               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099712,            0.017985,            0.026624,           0.0022068,            0.006647,           0.0009267,          0.00023006,            0.091657,            0.011839,            0.024529,            0.070126,           0.0033194,           0.0033194
                   1,            0.090651,            0.018033,            0.023061,          0.00025703,             0.11743,          0.00017464,          3.9998e-05,             0.10105,            0.013683,            0.033216,            0.039994,            0.006521,            0.006521
                   2,            0.077254,            0.018069,            0.019303,           0.0047527,             0.83097,             0.18372,            0.054312,            0.070797,            0.012643,            0.016228,           0.0097301,           0.0095906,           0.0095906
                   3,            0.069595,            0.016791,             0.01364,              0.2092,             0.43387,             0.22549,            0.069253,            0.065237,            0.010718,            0.016068,            0.009406,            0.009406,            0.009406
                   4,            0.067793,            0.015552,            0.011964,             0.25639,             0.30703,             0.17518,            0.064112,            0.067746,            0.011017,            0.021746,            0.009406,            0.009406,            0.009406
                   5,            0.066351,            0.015495,            0.011426,             0.23682,             0.27991,             0.19617,            0.073352,            0.065827,            0.010681,            0.013169,            0.009208,            0.009208,            0.009208
                   6,            0.065764,            0.015022,            0.011006,             0.36841,             0.33784,             0.27579,            0.087003,            0.061721,           0.0095022,            0.012854,             0.00901,             0.00901,             0.00901
                   7,            0.065549,            0.014638,            0.010976,             0.27537,             0.52018,             0.29832,            0.097518,            0.059971,           0.0091714,            0.012758,            0.008812,            0.008812,            0.008812
                   8,            0.064247,            0.014616,            0.010942,             0.44816,             0.50552,              0.4386,             0.16838,            0.054968,           0.0084596,           0.0089198,            0.008614,            0.008614,            0.008614
                   9,            0.063467,            0.014328,            0.010111,             0.38236,             0.52466,             0.31963,             0.11176,             0.06061,            0.008947,           0.0096443,            0.008416,            0.008416,            0.008416
                  10,            0.063382,            0.014137,           0.0096902,             0.41347,             0.49257,             0.43499,             0.15996,            0.054213,           0.0082741,           0.0087123,            0.008218,            0.008218,            0.008218
                  11,            0.062826,            0.014063,           0.0095144,             0.42851,             0.52164,              0.4115,             0.15102,            0.057073,           0.0077742,           0.0091893,             0.00802,             0.00802,             0.00802
                  12,            0.061943,            0.013812,           0.0088669,             0.23678,             0.19084,             0.16477,            0.063682,             0.08483,             0.01046,            0.017967,            0.007822,            0.007822,            0.007822
                  13,            0.062059,            0.013691,           0.0082157,             0.31978,              0.2908,             0.23086,            0.081377,            0.070822,           0.0094028,            0.014106,            0.007624,            0.007624,            0.007624
                  14,            0.061669,            0.013891,           0.0079926,              0.6418,             0.63551,             0.65571,             0.26593,            0.052025,           0.0079395,           0.0045211,            0.007426,            0.007426,            0.007426
                  15,            0.061096,            0.013863,           0.0081342,             0.51286,             0.62593,             0.58356,             0.24135,            0.052033,           0.0078157,           0.0049453,            0.007228,            0.007228,            0.007228
                  16,            0.060971,            0.013733,           0.0077802,             0.57971,             0.49821,             0.57122,             0.22081,            0.051989,           0.0088497,           0.0062963,             0.00703,             0.00703,             0.00703
                  17,            0.060868,            0.013415,           0.0078254,             0.32331,             0.18768,             0.14644,             0.04421,            0.082332,            0.010653,            0.024839,            0.006832,            0.006832,            0.006832
                  18,            0.059827,            0.013526,           0.0073314,             0.49839,             0.58375,             0.51217,             0.19851,            0.053532,            0.007649,           0.0077605,            0.006634,            0.006634,            0.006634
                  19,            0.059838,            0.013144,           0.0076172,             0.50981,             0.61258,             0.57298,             0.25221,            0.049976,            0.007776,           0.0049039,            0.006436,            0.006436,            0.006436
