               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10155,            0.017911,            0.026941,           0.0006541,             0.20243,          0.00048671,           0.0001215,            0.091931,            0.011357,            0.026333,             0.07025,           0.0033056,           0.0033056
                   1,            0.091318,            0.018092,            0.023207,           0.0012412,             0.39755,           0.0022528,          0.00053483,            0.086347,            0.011081,            0.021347,            0.040119,           0.0065074,           0.0065074
                   2,            0.078899,            0.017983,            0.019937,              0.2337,             0.27178,             0.15513,            0.047358,             0.06992,              0.0124,            0.013204,           0.0098551,           0.0095773,           0.0095773
                   3,            0.066714,            0.015734,            0.012233,             0.17799,             0.47945,             0.17881,            0.065413,            0.059451,            0.013765,            0.027891,            0.009406,            0.009406,            0.009406
                   4,            0.060407,            0.013198,           0.0081537,             0.47661,             0.39299,             0.34363,             0.13005,            0.066075,           0.0089164,            0.012669,            0.009406,            0.009406,            0.009406
                   5,            0.055701,            0.012246,           0.0061515,             0.53307,             0.18192,             0.17397,            0.068449,            0.092663,            0.012553,            0.040575,            0.009208,            0.009208,            0.009208
                   6,            0.051809,            0.011301,           0.0051553,             0.64982,             0.57252,             0.58825,              0.2363,            0.053437,           0.0079668,           0.0054889,             0.00901,             0.00901,             0.00901
                   7,            0.049594,             0.01063,           0.0041533,             0.69159,             0.70647,             0.78776,             0.38019,            0.044407,           0.0062817,           0.0047829,            0.008812,            0.008812,            0.008812
                   8,            0.047659,            0.010577,           0.0040725,             0.78362,             0.73319,              0.8417,             0.40298,            0.043701,            0.006171,           0.0038032,            0.008614,            0.008614,            0.008614
                   9,            0.046662,            0.010228,           0.0036997,             0.79308,             0.64257,             0.75923,             0.34631,            0.045729,           0.0069478,            0.012141,            0.008416,            0.008416,            0.008416
                  10,            0.045621,           0.0098079,           0.0029857,              0.7927,             0.58613,              0.6184,             0.28443,            0.054552,           0.0085299,            0.027443,            0.008218,            0.008218,            0.008218
                  11,            0.044757,           0.0096214,           0.0026264,             0.91849,              0.8955,             0.93874,             0.47795,            0.036289,           0.0047538,           0.0010719,             0.00802,             0.00802,             0.00802
                  12,            0.042956,           0.0094716,           0.0028834,             0.86431,             0.86831,             0.91869,              0.4745,            0.036768,            0.004818,           0.0011683,            0.007822,            0.007822,            0.007822
                  13,            0.042748,           0.0096569,           0.0028189,             0.84786,              0.8234,             0.89046,             0.47897,            0.035711,           0.0046442,           0.0028972,            0.007624,            0.007624,            0.007624
                  14,            0.042404,           0.0093252,           0.0031445,             0.91662,             0.90497,             0.95298,             0.52149,            0.036109,           0.0045471,           0.0010758,            0.007426,            0.007426,            0.007426
                  15,            0.041697,           0.0096421,           0.0024593,             0.90327,             0.88916,             0.93653,             0.52975,            0.034227,           0.0046241,           0.0013873,            0.007228,            0.007228,            0.007228
                  16,            0.041027,           0.0093788,           0.0025479,             0.90284,             0.88804,             0.93454,             0.49528,            0.035358,           0.0045934,           0.0011006,             0.00703,             0.00703,             0.00703
                  17,            0.040595,           0.0090209,           0.0021745,             0.92555,             0.88815,              0.9404,             0.53093,             0.03496,           0.0045715,           0.0010127,            0.006832,            0.006832,            0.006832
                  18,            0.039477,           0.0088777,           0.0020389,             0.94711,             0.91872,             0.96745,             0.54612,            0.032292,           0.0043276,           0.0014796,            0.006634,            0.006634,            0.006634
                  19,            0.039279,           0.0087467,           0.0021238,             0.91155,             0.83831,             0.92295,             0.53313,            0.034153,           0.0053161,           0.0049915,            0.006436,            0.006436,            0.006436
                  20,            0.038278,           0.0086913,           0.0017425,             0.96822,             0.90043,             0.96363,             0.56227,            0.030445,           0.0042193,            0.001661,            0.006238,            0.006238,            0.006238
                  21,            0.038509,           0.0087706,           0.0020553,              0.9488,             0.71192,             0.76604,             0.44556,            0.051592,           0.0067561,            0.010762,             0.00604,             0.00604,             0.00604
                  22,             0.03792,           0.0085871,           0.0017474,             0.91069,             0.91351,             0.93914,             0.49983,             0.03182,           0.0041322,           0.0019369,            0.005842,            0.005842,            0.005842
                  23,            0.037274,           0.0085852,           0.0020189,             0.97565,             0.95331,             0.97659,             0.54293,            0.030486,           0.0040408,          0.00062004,            0.005644,            0.005644,            0.005644
                  24,            0.036556,           0.0084032,           0.0015522,              0.9543,             0.94684,              0.9765,             0.58981,            0.030787,           0.0041758,           0.0007111,            0.005446,            0.005446,            0.005446
                  25,               0.036,           0.0082576,           0.0016405,              0.9781,             0.96022,             0.98652,             0.61247,            0.027643,           0.0040379,          0.00058143,            0.005248,            0.005248,            0.005248
                  26,            0.035347,           0.0083405,           0.0016325,              0.9753,             0.95449,             0.98631,             0.64026,            0.026635,           0.0038464,          0.00055953,             0.00505,             0.00505,             0.00505
                  27,            0.035668,            0.008218,           0.0014649,             0.97319,             0.97418,              0.9926,             0.62966,            0.027326,            0.003927,          0.00053349,            0.004852,            0.004852,            0.004852
                  28,            0.035262,           0.0082597,           0.0014019,              0.9253,             0.92511,             0.95821,              0.5813,            0.029092,           0.0039324,           0.0023562,            0.004654,            0.004654,            0.004654
                  29,            0.034233,           0.0081051,           0.0014942,             0.96407,             0.96876,             0.98323,             0.61809,            0.027644,           0.0037307,          0.00075849,            0.004456,            0.004456,            0.004456
                  30,            0.034037,            0.008127,           0.0012405,             0.97917,             0.97738,             0.99161,             0.65265,            0.026703,           0.0037386,          0.00052538,            0.004258,            0.004258,            0.004258
                  31,            0.033086,           0.0078963,           0.0014278,             0.93437,             0.89966,             0.93874,             0.61104,            0.028977,           0.0046128,           0.0042465,             0.00406,             0.00406,             0.00406
                  32,             0.03289,           0.0079675,           0.0012878,             0.97143,             0.96817,             0.98812,             0.63472,            0.025534,           0.0035594,          0.00050332,            0.003862,            0.003862,            0.003862
                  33,            0.032085,           0.0077716,           0.0012756,             0.99114,             0.97103,             0.99219,             0.65579,            0.025289,           0.0036291,          0.00057425,            0.003664,            0.003664,            0.003664
                  34,            0.031399,           0.0076852,           0.0013803,             0.97753,               0.975,             0.98497,             0.64863,            0.025474,            0.003547,          0.00039909,            0.003466,            0.003466,            0.003466
                  35,            0.031611,           0.0078557,           0.0011328,             0.99234,             0.98113,             0.99332,             0.67657,            0.023705,           0.0034871,          0.00036688,            0.003268,            0.003268,            0.003268
                  36,            0.030908,           0.0075022,          0.00099011,             0.99172,             0.97988,             0.99435,             0.67888,             0.02348,           0.0033679,          0.00044017,             0.00307,             0.00307,             0.00307
                  37,            0.030005,           0.0075699,          0.00078891,             0.98984,             0.96126,             0.98986,              0.6778,            0.022758,           0.0033695,          0.00031051,            0.002872,            0.002872,            0.002872
                  38,            0.029519,           0.0073697,           0.0010572,             0.98966,             0.97766,             0.99393,             0.67568,            0.022992,           0.0033925,          0.00033446,            0.002674,            0.002674,            0.002674
                  39,             0.02915,           0.0072305,          0.00095132,             0.99644,             0.98523,             0.99471,             0.69416,            0.023101,           0.0033608,          0.00036595,            0.002476,            0.002476,            0.002476
                  40,            0.028428,           0.0071267,          0.00085772,              0.9954,             0.98123,             0.99244,             0.65769,            0.023868,           0.0033024,          0.00027376,            0.002278,            0.002278,            0.002278
                  41,            0.028497,           0.0070353,          0.00071984,             0.99484,             0.98579,             0.99424,             0.71734,            0.021784,           0.0032042,          0.00029383,             0.00208,             0.00208,             0.00208
                  42,            0.027665,           0.0070108,          0.00073683,             0.99654,             0.99227,             0.99469,             0.72386,            0.021042,           0.0031151,          0.00020035,            0.001882,            0.001882,            0.001882
                  43,            0.026583,           0.0069678,           0.0006939,              0.9958,              0.9757,             0.99216,             0.70804,            0.021724,           0.0033345,          0.00024517,            0.001684,            0.001684,            0.001684
                  44,            0.026844,           0.0068748,          0.00059397,             0.99413,             0.99704,             0.99487,             0.70723,            0.020984,           0.0031086,          0.00017037,            0.001486,            0.001486,            0.001486
                  45,            0.025389,            0.006656,          0.00051961,             0.99748,              0.9944,             0.99495,              0.7469,            0.019855,           0.0029278,          0.00015615,            0.001288,            0.001288,            0.001288
                  46,            0.024591,            0.006557,          0.00056694,             0.99926,             0.99631,               0.995,             0.75864,            0.019217,           0.0028926,          0.00014368,             0.00109,             0.00109,             0.00109
                  47,            0.024413,           0.0063971,          0.00069455,             0.99667,             0.99557,             0.99496,             0.75793,             0.01943,           0.0028406,          0.00013473,            0.000892,            0.000892,            0.000892
                  48,            0.024752,           0.0066759,          0.00042231,             0.99803,             0.99705,               0.995,             0.76912,            0.018479,           0.0027992,          0.00010821,            0.000694,            0.000694,            0.000694
                  49,             0.02376,           0.0065006,          0.00039038,              0.9978,             0.99631,             0.99493,             0.77413,             0.01827,            0.002774,          8.6467e-05,            0.000496,            0.000496,            0.000496
