                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9595,                0.57132,                 1.0568,                0.99559,                0.99723,                0.99496,                0.81021,                0.80763,                0.41579,                0.97338,              0.0093466,              0.0093466,              0.0093466
                     36,                0.95443,                0.57045,                 1.0555,                0.98728,                0.99705,                0.99398,                0.81198,                0.78369,                0.41111,                0.96886,              0.0093268,              0.0093268,              0.0093268
                     37,                0.95014,                 0.5607,                 1.0544,                0.99439,                0.99096,                0.99463,                0.81484,                0.80236,                 0.4143,                0.96669,               0.009307,               0.009307,               0.009307
                     38,                0.92975,                0.55528,                 1.0564,                0.99817,                0.99409,                0.99499,                0.81367,                0.79435,                0.40933,                0.96416,              0.0092872,              0.0092872,              0.0092872
                     39,                0.94076,                0.55494,                 1.0633,                0.99969,                 0.9968,                  0.995,                0.81783,                0.77862,                0.39232,                0.95665,              0.0092674,              0.0092674,              0.0092674
                     40,                0.94094,                0.55032,                 1.0507,                0.99349,                      1,                0.99249,                0.81378,                 0.7886,                0.40652,                0.96025,              0.0092476,              0.0092476,              0.0092476
                     41,                0.93241,                 0.5511,                 1.0406,                0.99047,                0.99622,                0.99496,                0.82246,                0.77177,                0.39621,                 0.9576,              0.0092278,              0.0092278,              0.0092278
                     42,                0.91765,                 0.5415,                 1.0428,                0.99267,                0.99926,                0.99496,                0.82379,                0.77583,                0.38608,                0.95334,               0.009208,               0.009208,               0.009208
                     43,                 0.9196,                 0.5548,                 1.0446,                0.98927,                0.99474,                0.99418,                0.83602,                0.75506,                0.38736,                0.95776,              0.0091882,              0.0091882,              0.0091882
                     44,                0.92047,                0.54048,                 1.0354,                0.98333,                  0.997,                0.99321,                0.82489,                 0.7698,                0.38493,                 0.9513,              0.0091684,              0.0091684,              0.0091684
                     45,                0.93417,                0.54095,                 1.0477,                0.99342,                0.99578,                 0.9949,                0.80337,                0.78683,                 0.4021,                0.96734,              0.0091486,              0.0091486,              0.0091486
                     46,                0.90884,                0.52907,                 1.0313,                0.99693,                0.99778,                0.99482,                0.82628,                0.76837,                0.38052,                0.95235,              0.0091288,              0.0091288,              0.0091288
                     47,                0.89871,                0.52158,                 1.0335,                0.99268,                0.99617,                0.99496,                 0.8245,                0.77362,                0.39538,                0.94945,               0.009109,               0.009109,               0.009109
                     48,                  0.901,                0.52082,                 1.0322,                0.99874,                0.99557,                0.99499,                0.82827,                0.77033,                0.37559,                0.94413,              0.0090892,              0.0090892,              0.0090892
                     49,                0.91008,                 0.5369,                 1.0335,                0.99846,                0.99252,                0.99499,                0.83658,                0.74868,                0.37073,                0.93103,              0.0090694,              0.0090694,              0.0090694
                     50,                0.87633,                0.50835,                 1.0158,                0.99711,                0.99504,                0.99499,                0.83721,                0.74092,                0.37068,                0.93993,              0.0090496,              0.0090496,              0.0090496
                     51,                0.89205,                0.52322,                 1.0284,                0.99418,                0.99635,                0.99474,                0.84078,                0.72587,                0.37153,                0.93024,              0.0090298,              0.0090298,              0.0090298
                     52,                0.88981,                 0.5186,                 1.0246,                0.99556,                      1,                0.99498,                0.82587,                0.73731,                0.36918,                0.93421,                0.00901,                0.00901,                0.00901
                     53,                0.88433,                0.51688,                 1.0208,                0.99553,                0.99778,                0.99472,                 0.8393,                0.73521,                0.36447,                0.93157,              0.0089902,              0.0089902,              0.0089902
                     54,                0.88255,                0.51082,                 1.0255,                0.99911,                0.99783,                  0.995,                0.83809,                0.73918,                0.36239,                0.93773,              0.0089704,              0.0089704,              0.0089704
                     55,                 0.8864,                0.51422,                  1.025,                0.99773,                0.99769,                  0.995,                0.84511,                0.71428,                0.35141,                0.92823,              0.0089506,              0.0089506,              0.0089506
                     56,                0.88419,                0.51256,                 1.0244,                0.99576,                0.99926,                0.99453,                0.84269,                0.72954,                0.36592,                0.93157,              0.0089308,              0.0089308,              0.0089308
                     57,                0.88087,                 0.5167,                 1.0232,                0.99904,                0.99847,                  0.995,                0.84544,                 0.7088,                0.35353,                0.92343,               0.008911,               0.008911,               0.008911
